<TICKER>,<PER>,<DATE>,<TIME>,<USD_OPEN>,<USD_HIGH>,<USD_LOW>,<USD_CLOSE>,<USD_VOL>
USDRUB,60,20160210,220000,78.6535000,79.0482000,78.2732000,78.7016000,40383
USDRUB,60,20160210,230000,78.7092000,78.7745000,78.1305000,78.3586000,42687
USDRUB,60,20160211,000000,78.3631000,78.6586000,78.2865000,78.6019000,40150
USDRUB,60,20160211,010000,78.6028000,78.7546000,78.3398000,78.4586000,38321
USDRUB,60,20160211,020000,78.4596000,78.8642000,78.3530000,78.6635000,23061
USDRUB,60,20160211,030000,78.8503000,78.9841000,77.3195000,77.8084000,2361
USDRUB,60,20160211,040000,78.4418000,78.5619000,77.1945000,77.8236000,460
USDRUB,60,20160211,050000,78.4548000,78.4722000,75.9307000,75.9308000,144
USDRUB,60,20160211,060000,77.5083000,78.8630000,77.5083000,78.6391000,433
USDRUB,60,20160211,070000,78.8625000,78.9125000,78.6391000,78.6891000,1132
USDRUB,60,20160211,080000,78.6891000,78.9060000,78.6891000,78.7281000,2183
USDRUB,60,20160211,090000,78.9060000,78.9553000,78.6941000,78.8216000,1732
USDRUB,60,20160211,100000,78.9528000,78.9528000,77.8336000,77.8336000,1613
USDRUB,60,20160211,110000,78.6844000,78.9158000,77.8336000,78.7461000,2000
USDRUB,60,20160211,120000,78.9163000,79.0035000,78.3500000,78.8631000,2922
USDRUB,60,20160211,130000,78.9884000,79.1114000,78.6820000,79.0896000,46823
USDRUB,60,20160211,140000,79.0896000,79.5231000,79.0144000,79.3986000,46096
USDRUB,60,20160211,150000,79.4103000,79.6150000,79.2427000,79.3596000,45047
USDRUB,60,20160211,160000,79.3596000,79.4860000,79.2494000,79.3311000,35847
USDRUB,60,20160211,170000,79.3236000,79.6505000,79.2894000,79.5132000,39989
USDRUB,60,20160211,180000,79.5028000,79.9228000,79.4219000,79.8954000,38200
USDRUB,60,20160211,190000,79.8954000,80.6243000,79.8169000,80.4611000,41274
USDRUB,60,20160211,200000,80.4611000,80.5471000,79.3995000,79.4423000,39169
USDRUB,60,20160211,210000,79.4412000,80.4346000,79.3945000,80.4315000,36928
USDRUB,60,20160211,220000,80.4307000,80.5478000,79.8581000,80.0408000,43625
USDRUB,60,20160211,230000,80.0408000,80.3796000,79.8860000,80.2096000,40469
USDRUB,60,20160212,000000,80.2096000,80.4226000,79.8120000,80.3496000,35922
USDRUB,60,20160212,010000,80.3496000,80.4966000,79.6810000,79.9946000,34509
USDRUB,60,20160212,020000,79.9946000,80.1759000,79.5131000,79.5981000,30166
USDRUB,60,20160212,030000,80.0450000,80.2195000,79.5604000,79.5641000,3227
USDRUB,60,20160212,040000,80.0571000,80.1955000,79.0446000,79.4641000,525
USDRUB,60,20160212,050000,80.0325000,80.1820000,79.0256000,79.5641000,453
USDRUB,60,20160212,060000,80.0450000,80.2070000,79.3891000,79.4891000,2287
USDRUB,60,20160212,070000,79.7906000,80.0041000,79.4384000,79.4891000,2944
USDRUB,60,20160212,080000,79.5713000,79.8094000,79.4384000,79.5761000,3536
USDRUB,60,20160212,090000,79.5937000,79.8312000,79.0884000,79.3111000,4292
USDRUB,60,20160212,100000,79.3267000,79.6500000,77.4907000,78.2411000,3307
USDRUB,60,20160212,110000,78.6285000,79.8005000,77.8592000,78.8836000,4729
USDRUB,60,20160212,120000,79.0358000,80.0562000,77.7415000,79.2304000,6402
USDRUB,60,20160212,130000,79.5289000,79.7207000,79.0596000,79.5446000,48524
USDRUB,60,20160212,140000,79.5438000,79.7768000,79.1568000,79.2558000,45436
USDRUB,60,20160212,150000,79.2696000,79.5126000,79.0857000,79.3865000,40600
USDRUB,60,20160212,160000,79.3865000,79.5311000,79.2814000,79.4639000,36354
USDRUB,60,20160212,170000,79.4816000,79.5376000,79.1744000,79.2851000,34611
USDRUB,60,20160212,180000,79.2851000,79.4248000,79.2094000,79.3221000,33508
USDRUB,60,20160212,190000,79.3369000,79.5038000,79.0494000,79.2939000,37164
USDRUB,60,20160212,200000,79.2852000,79.3202000,78.7969000,79.2846000,39077
USDRUB,60,20160212,210000,79.2769000,79.3869000,78.5930000,78.8029000,41006
USDRUB,60,20160212,220000,78.8029000,78.8569000,78.1546000,78.5211000,38783
USDRUB,60,20160212,230000,78.5296000,78.6246000,78.1350000,78.3196000,31387
USDRUB,60,20160213,000000,78.3196000,78.5296000,77.9176000,78.4495000,28698
USDRUB,60,20160213,010000,78.4643000,78.5946000,78.0700000,78.2996000,31629
USDRUB,60,20160213,020000,78.2996000,78.4137000,77.5121000,77.6466000,16638
USDRUB,60,20160213,030000,78.4250000,78.7266000,76.9722000,78.2995000,216
USDRUB,60,20160213,040000,78.5724000,78.5724000,78.2322000,78.3635000,13
USDRUB,60,20160213,050000,78.3635000,78.4934000,78.3635000,78.4415000,10
USDRUB,60,20160214,230000,78.3635000,78.3635000,78.3635000,78.3635000,12
USDRUB,60,20160215,000000,78.3635000,78.8045000,78.3635000,78.5840000,13
USDRUB,60,20160215,010000,78.5840000,78.5840000,78.5840000,78.5840000,12
