<TICKER>,<PER>,<DATE>,<TIME>,<AF_OPEN>,<AF_HIGH>,<AF_LOW>,<AF_CLOSE>,<AF_VOL>
DJ.A1FIN,60,20151118,080000,246.4264144,246.4264144,246.3948354,246.4158880,322
DJ.A1FIN,60,20151118,090000,246.4211512,246.4422038,246.4158880,246.4316775,333
DJ.A1FIN,60,20151118,100000,246.4369407,246.4527302,246.4264144,246.4369407,281
DJ.A1FIN,60,20151118,110000,246.4316775,246.4685196,246.4158880,246.4685196,283
DJ.A1FIN,60,20151118,120000,246.4632565,246.4685196,246.4106249,246.4316775,349
DJ.A1FIN,60,20151118,130000,246.4369407,246.4685196,246.4211512,246.4264144,340
DJ.A1FIN,60,20151118,140000,246.4211512,246.4316775,246.3527301,246.4000986,370
DJ.A1FIN,60,20151118,150000,246.3948354,247.8737834,246.3790459,247.6895728,503
DJ.A1FIN,60,20151118,160000,247.7106254,248.0264150,247.1737831,247.4737832,561
DJ.A1FIN,60,20151118,170000,247.4369411,248.6158889,247.2316778,248.3369414,533
DJ.A1FIN,60,20151118,180000,248.3106256,248.8316785,248.2264151,248.7790469,508
DJ.A1FIN,60,20151118,190000,248.7737837,249.0948365,248.6053626,248.6422047,490
DJ.A1FIN,60,20151118,200000,248.6474679,249.7422052,248.4264152,249.7422052,553
DJ.A1FIN,60,20151118,210000,249.7264157,250.3948370,249.6158893,250.2264159,538
DJ.A1FIN,60,20151118,220000,250.2369422,250.2843106,250.2316790,250.2632580,221
DJ.A1FIN,60,20151119,010000,250.2790475,250.3106264,250.2737843,250.3053633,203
DJ.A1FIN,60,20151119,020000,250.3106264,250.3579949,250.3053633,250.3422054,227
DJ.A1FIN,60,20151119,030000,250.3474686,250.3632580,250.3369422,250.3369422,264
DJ.A1FIN,60,20151119,040000,250.3474686,250.3685212,250.3369422,250.3579949,193
DJ.A1FIN,60,20151119,050000,250.3632580,250.3843107,250.3527317,250.3685212,200
DJ.A1FIN,60,20151119,060000,250.3737844,250.3790475,250.3579949,250.3685212,220
DJ.A1FIN,60,20151119,070000,250.3632580,250.3737844,250.3474686,250.3474686,148
DJ.A1FIN,60,20151119,080000,250.3527317,250.3790475,250.3211528,250.3211528,334
DJ.A1FIN,60,20151119,090000,250.3264159,250.3948370,250.3264159,250.3843107,349
DJ.A1FIN,60,20151119,100000,250.3895738,250.3895738,250.3579949,250.3685212,348
DJ.A1FIN,60,20151119,110000,250.3737844,250.3895738,250.3579949,250.3685212,384
DJ.A1FIN,60,20151119,120000,250.3737844,250.4106265,250.3579949,250.3632580,369
DJ.A1FIN,60,20151119,130000,250.3579949,250.4369423,250.3579949,250.3948370,390
DJ.A1FIN,60,20151119,140000,250.4001002,250.4106265,250.3369422,250.3632580,387
DJ.A1FIN,60,20151119,150000,250.3685212,250.8895740,250.3527317,250.5264160,496
DJ.A1FIN,60,20151119,160000,250.5474686,250.8053635,249.8843105,250.4001002,567
DJ.A1FIN,60,20151119,170000,250.3895738,250.9737846,250.2685212,250.2895738,531
